Date,Forecast,Count
1/8/2020 2:00,9.340425532,12
1/8/2020 3:00,7.319148936,13
1/8/2020 4:00,6.085106383,14
1/8/2020 5:00,5.127659574,14
1/8/2020 6:00,4.957446808,13
1/8/2020 7:00,5.042553192,12
1/8/2020 8:00,6.234042553,11
1/8/2020 9:00,9.255319149,15
1/8/2020 10:00,13,18
1/8/2020 11:00,16.44680851,24
1/8/2020 12:00,20.25531915,27
1/8/2020 13:00,22.95744681,26
1/8/2020 14:00,24.65957447,25
1/8/2020 15:00,23.76595745,31
1/8/2020 16:00,23.08510638,36
1/8/2020 17:00,24.23404255,35
1/8/2020 18:00,24.87234043,34
1/8/2020 19:00,26.9787234,31
1/8/2020 20:00,26.14893617,32
1/8/2020 21:00,25.53191489,33
1/8/2020 22:00,23.27659574,27
1/8/2020 23:00,19.31914894,20
1/9/2020 0:00,15.82978723,21
1/9/2020 1:00,12.9787234,18
1/9/2020 2:00,10.44680851,18
1/9/2020 3:00,8.063829788,15
1/9/2020 4:00,5.936170213,12
1/9/2020 5:00,5.170212766,8
1/9/2020 6:00,5.297872341,5
1/9/2020 7:00,5.361702128,5
1/9/2020 8:00,6.702127659,8
1/9/2020 9:00,9.70212766,16
1/9/2020 10:00,13.65957447,16
1/9/2020 11:00,17.04255319,16
1/9/2020 12:00,20.10638298,18
1/9/2020 13:00,22.57446809,26
1/9/2020 14:00,24.42553191,29
1/9/2020 15:00,24.10638298,27
1/9/2020 16:00,23.36170213,27
1/9/2020 17:00,23.87234042,28
1/9/2020 18:00,24.85106383,25
1/9/2020 19:00,25.65957447,27
1/9/2020 20:00,24.61702127,25
1/9/2020 21:00,23.82978724,29
1/9/2020 22:00,21.42553192,23
1/9/2020 23:00,18.9361702,16
1/10/2020 0:00,15.36170214,18
1/10/2020 1:00,12.91489362,12
1/10/2020 2:00,9.765957431,10
1/10/2020 3:00,7.404255336,3
1/10/2020 4:00,6.063829789,3
1/10/2020 5:00,5.021276568,3
1/10/2020 6:00,5.148936201,4
1/10/2020 7:00,5.744680854,4
1/10/2020 8:00,6.765957398,6
1/10/2020 9:00,9.063829843,10
1/10/2020 10:00,12.78723405,13
1/10/2020 11:00,16.31914885,16
1/10/2020 12:00,19.27659584,16
1/10/2020 13:00,21.57446809,24
1/10/2020 14:00,23.21276581,31
1/10/2020 15:00,23.74468103,35
1/10/2020 16:00,23.61702128,30
1/10/2020 17:00,25.12765931,29
1/10/2020 18:00,26.34042586,27
1/10/2020 19:00,26.40425531,25
1/10/2020 20:00,25.91489315,23
1/10/2020 21:00,24.59574526,20
1/10/2020 22:00,22.36170209,16
1/10/2020 23:00,19.19148858,15
1/11/2020 0:00,15.80851172,19
1/11/2020 1:00,13.4468082,19
1/11/2020 2:00,11.17021089,15
1/11/2020 3:00,8.659577533,10
1/11/2020 4:00,7.914897881,7
1/11/2020 5:00,6.680846304,8
1/11/2020 6:00,5.999972141,4
1/11/2020 7:00,5.425498579,6
1/11/2020 8:00,5.93628231,7
1/11/2020 9:00,8.19185483,9
1/11/2020 10:00,10.95760008,13
1/11/2020 11:00,14.02022956,10
1/11/2020 12:00,17.61427594,16
1/11/2020 13:00,19.65542324,20
1/11/2020 14:00,21.01571444,21
1/11/2020 15:00,21.18531224,22
1/11/2020 16:00,20.29670651,23
1/11/2020 17:00,19.94813828,19
1/11/2020 18:00,19.11123629,13
1/11/2020 19:00,19.03831519,11
1/11/2020 20:00,18.0764436,8
1/11/2020 21:00,18.4136065,9
1/11/2020 22:00,17.09595416,9
1/11/2020 23:00,15.20835147,10
